"attackermoveset";"attackername";"attackerfastmove";"attackerspecialmove";"defendermoveset";"defendername";"defenderfastmove";"defenderspecialmove";"attackerattackmodifier";"attackerdefensemodifier";"attackeradvantage"
231;Golbat;Wing Attack;Air Cutter;610;Hitmonlee;Low Kick;Stone Edge;1,5625;1,05820107;1,65343916
231;Golbat;Wing Attack;Air Cutter;609;Hitmonlee;Low Kick;Low Sweep;1,5625;1,5625;2,44140625
230;Golbat;Wing Attack;Poison Fang;609;Hitmonlee;Low Kick;Low Sweep;1,40625;1,5625;2,19726563
232;Golbat;Wing Attack;Ominous Wind;609;Hitmonlee;Low Kick;Low Sweep;1,28125;1,5625;2,00195313
543;Gengar;Shadow Claw;Dark Pulse;609;Hitmonlee;Low Kick;Low Sweep;1,25;1,5625;1,953125
707;Mr, Mime;Zen Headbutt;Psychic;609;Hitmonlee;Low Kick;Low Sweep;1,5625;1,25;1,953125
594;Exeggutor;Zen Headbutt;Psychic;609;Hitmonlee;Low Kick;Low Sweep;1,5625;1,25;1,953125
542;Gengar;Shadow Claw;Shadow Ball;609;Hitmonlee;Low Kick;Low Sweep;1,25;1,5625;1,953125
557;Hypno;Zen Headbutt;Psyshock;609;Hitmonlee;Low Kick;Low Sweep;1,5625;1,25;1,953125
703;Mr, Mime;Confusion;Psybeam;609;Hitmonlee;Low Kick;Low Sweep;1,5625;1,25;1,953125
544;Gengar;Shadow Claw;Sludge Wave;609;Hitmonlee;Low Kick;Low Sweep;1,25;1,5625;1,953125
72;Beedrill;Poison Jab;Aerial Ace;609;Hitmonlee;Low Kick;Low Sweep;1,25;1,5625;1,953125
706;Mr, Mime;Zen Headbutt;Psybeam;609;Hitmonlee;Low Kick;Low Sweep;1,5625;1,25;1,953125
276;Venomoth;Confusion;Psychic;609;Hitmonlee;Low Kick;Low Sweep;1,25;1,5625;1,953125
71;Beedrill;Poison Jab;Sludge Bomb;609;Hitmonlee;Low Kick;Low Sweep;1,25;1,5625;1,953125
558;Hypno;Zen Headbutt;Psychic;609;Hitmonlee;Low Kick;Low Sweep;1,5625;1,25;1,953125
561;Hypno;Confusion;Psychic;609;Hitmonlee;Low Kick;Low Sweep;1,5625;1,25;1,953125
368;Alakazam;Confusion;Psychic;609;Hitmonlee;Low Kick;Low Sweep;1,5625;1,25;1,953125
62;Butterfree;Confusion;Psychic;609;Hitmonlee;Low Kick;Low Sweep;1,25;1,5625;1,953125
365;Alakazam;Psycho Cut;Psychic;609;Hitmonlee;Low Kick;Low Sweep;1,5625;1,25;1,953125
275;Venomoth;Confusion;Poison Fang;609;Hitmonlee;Low Kick;Low Sweep;1,25;1,5625;1,953125
591;Exeggutor;Confusion;Psychic;609;Hitmonlee;Low Kick;Low Sweep;1,5625;1,25;1,953125
704;Mr, Mime;Confusion;Psychic;609;Hitmonlee;Low Kick;Low Sweep;1,5625;1,25;1,953125
560;Hypno;Confusion;Psyshock;609;Hitmonlee;Low Kick;Low Sweep;1,5625;1,25;1,953125
459;Slowbro;Confusion;Psychic;609;Hitmonlee;Low Kick;Low Sweep;1,5625;1,25;1,953125
234;Golbat;Bite;Air Cutter;609;Hitmonlee;Low Kick;Low Sweep;1,18124998;1,5625;1,84570313
35;Charizard;Wing Attack;Flamethrower;609;Hitmonlee;Low Kick;Low Sweep;1,40625;1,25;1,7578125
33;Charizard;Wing Attack;Fire Blast;609;Hitmonlee;Low Kick;Low Sweep;1,40625;1,25;1,7578125
590;Exeggutor;Confusion;Seed Bomb;609;Hitmonlee;Low Kick;Low Sweep;1,40625;1,25;1,7578125
272;Venomoth;Bug Bite;Poison Fang;609;Hitmonlee;Low Kick;Low Sweep;1,125;1,5625;1,7578125
59;Butterfree;Bug Bite;Psychic;609;Hitmonlee;Low Kick;Low Sweep;1,125;1,5625;1,7578125
69;Beedrill;Bug Bite;Aerial Ace;609;Hitmonlee;Low Kick;Low Sweep;1,125;1,5625;1,7578125
199;Clefable;Zen Headbutt;Moonblast;609;Hitmonlee;Low Kick;Low Sweep;1,40625;1,25;1,7578125
273;Venomoth;Bug Bite;Psychic;609;Hitmonlee;Low Kick;Low Sweep;1,125;1,5625;1,7578125
73;Beedrill;Poison Jab;X-Scissor;609;Hitmonlee;Low Kick;Low Sweep;1,125;1,5625;1,7578125
197;Clefable;Zen Headbutt;Dazzling Gleam;609;Hitmonlee;Low Kick;Low Sweep;1,40625;1,25;1,7578125
592;Exeggutor;Confusion;Solar Beam;609;Hitmonlee;Low Kick;Low Sweep;1,40625;1,25;1,7578125
63;Butterfree;Confusion;Signal Beam;609;Hitmonlee;Low Kick;Low Sweep;1,125;1,5625;1,7578125
593;Exeggutor;Zen Headbutt;Seed Bomb;609;Hitmonlee;Low Kick;Low Sweep;1,40625;1,25;1,7578125
277;Venomoth;Confusion;Bug Buzz;609;Hitmonlee;Low Kick;Low Sweep;1,125;1,5625;1,7578125
458;Slowbro;Confusion;Water Pulse;609;Hitmonlee;Low Kick;Low Sweep;1,40625;1,25;1,7578125
702;Starmie;Water Gun;Psybeam;609;Hitmonlee;Low Kick;Low Sweep;1,40625;1,25;1,7578125
456;Slowbro;Water Gun;Psychic;609;Hitmonlee;Low Kick;Low Sweep;1,40625;1,25;1,7578125
369;Alakazam;Confusion;Dazzling Gleam;609;Hitmonlee;Low Kick;Low Sweep;1,40625;1,25;1,7578125
595;Exeggutor;Zen Headbutt;Solar Beam;609;Hitmonlee;Low Kick;Low Sweep;1,40625;1,25;1,7578125
68;Beedrill;Bug Bite;Sludge Bomb;609;Hitmonlee;Low Kick;Low Sweep;1,125;1,5625;1,7578125
61;Butterfree;Confusion;Bug Buzz;609;Hitmonlee;Low Kick;Low Sweep;1,125;1,5625;1,7578125
366;Alakazam;Psycho Cut;Dazzling Gleam;609;Hitmonlee;Low Kick;Low Sweep;1,40625;1,25;1,7578125
559;Hypno;Zen Headbutt;Shadow Ball;609;Hitmonlee;Low Kick;Low Sweep;1,28125;1,25;1,6015625
194;Clefable;Pound;Dazzling Gleam;609;Hitmonlee;Low Kick;Low Sweep;1,28125;1,25;1,6015625
705;Mr, Mime;Confusion;Shadow Ball;609;Hitmonlee;Low Kick;Low Sweep;1,28125;1,25;1,6015625
541;Gengar;Sucker Punch;Sludge Wave;609;Hitmonlee;Low Kick;Low Sweep;1,02499998;1,5625;1,6015625
708;Mr, Mime;Zen Headbutt;Shadow Ball;609;Hitmonlee;Low Kick;Low Sweep;1,28125;1,25;1,6015625
34;Charizard;Wing Attack;Dragon Claw;609;Hitmonlee;Low Kick;Low Sweep;1,28125;1,25;1,6015625
370;Alakazam;Confusion;Shadow Ball;609;Hitmonlee;Low Kick;Low Sweep;1,28125;1,25;1,6015625
233;Golbat;Bite;Poison Fang;609;Hitmonlee;Low Kick;Low Sweep;1,02499998;1,5625;1,6015625
562;Hypno;Confusion;Shadow Ball;609;Hitmonlee;Low Kick;Low Sweep;1,28125;1,25;1,6015625
460;Slowbro;Confusion;Ice Beam;609;Hitmonlee;Low Kick;Low Sweep;1,28125;1,25;1,6015625
196;Clefable;Pound;Moonblast;609;Hitmonlee;Low Kick;Low Sweep;1,28125;1,25;1,6015625
539;Gengar;Sucker Punch;Shadow Ball;609;Hitmonlee;Low Kick;Low Sweep;1,02499998;1,5625;1,6015625
699;Starmie;Quick Attack;Psybeam;609;Hitmonlee;Low Kick;Low Sweep;1,28125;1,25;1,6015625
367;Alakazam;Psycho Cut;Shadow Ball;609;Hitmonlee;Low Kick;Low Sweep;1,28125;1,25;1,6015625
231;Golbat;Wing Attack;Air Cutter;608;Hitmonlee;Low Kick;Stomp;1,5625;1,21951222;1,90548778
557;Hypno;Zen Headbutt;Psyshock;608;Hitmonlee;Low Kick;Stomp;1,5625;1,11111104;1,73611104
560;Hypno;Confusion;Psyshock;608;Hitmonlee;Low Kick;Stomp;1,5625;1,11111104;1,73611104
706;Mr, Mime;Zen Headbutt;Psybeam;608;Hitmonlee;Low Kick;Stomp;1,5625;1,11111104;1,73611104
544;Gengar;Shadow Claw;Sludge Wave;608;Hitmonlee;Low Kick;Stomp;1,25;1,38888884;1,73611104
594;Exeggutor;Zen Headbutt;Psychic;608;Hitmonlee;Low Kick;Stomp;1,5625;1,11111104;1,73611104
707;Mr, Mime;Zen Headbutt;Psychic;608;Hitmonlee;Low Kick;Stomp;1,5625;1,11111104;1,73611104
368;Alakazam;Confusion;Psychic;608;Hitmonlee;Low Kick;Stomp;1,5625;1,11111104;1,73611104
542;Gengar;Shadow Claw;Shadow Ball;608;Hitmonlee;Low Kick;Stomp;1,25;1,38888884;1,73611104
591;Exeggutor;Confusion;Psychic;608;Hitmonlee;Low Kick;Stomp;1,5625;1,11111104;1,73611104
558;Hypno;Zen Headbutt;Psychic;608;Hitmonlee;Low Kick;Stomp;1,5625;1,11111104;1,73611104
365;Alakazam;Psycho Cut;Psychic;608;Hitmonlee;Low Kick;Stomp;1,5625;1,11111104;1,73611104
561;Hypno;Confusion;Psychic;608;Hitmonlee;Low Kick;Stomp;1,5625;1,11111104;1,73611104
543;Gengar;Shadow Claw;Dark Pulse;608;Hitmonlee;Low Kick;Stomp;1,25;1,38888884;1,73611104
704;Mr, Mime;Confusion;Psychic;608;Hitmonlee;Low Kick;Stomp;1,5625;1,11111104;1,73611104
459;Slowbro;Confusion;Psychic;608;Hitmonlee;Low Kick;Stomp;1,5625;1,11111104;1,73611104
703;Mr, Mime;Confusion;Psybeam;608;Hitmonlee;Low Kick;Stomp;1,5625;1,11111104;1,73611104
230;Golbat;Wing Attack;Poison Fang;608;Hitmonlee;Low Kick;Stomp;1,40625;1,21951222;1,714939
265;Parasect;Fury Cutter;Solar Beam;607;Marowak;Rock Smash;Earthquake;1,40625;1,38888884;1,953125
710;Scyther;Fury Cutter;X-Scissor;607;Marowak;Rock Smash;Earthquake;1,25;1,5625;1,953125
711;Scyther;Fury Cutter;Bug Buzz;607;Marowak;Rock Smash;Earthquake;1,25;1,5625;1,953125
58;Butterfree;Bug Bite;Bug Buzz;607;Marowak;Rock Smash;Earthquake;1,25;1,5625;1,953125
262;Parasect;Bug Bite;Solar Beam;607;Marowak;Rock Smash;Earthquake;1,40625;1,38888884;1,953125
60;Butterfree;Bug Bite;Signal Beam;607;Marowak;Rock Smash;Earthquake;1,25;1,5625;1,953125
714;Scyther;Steel Wing;Bug Buzz;607;Marowak;Rock Smash;Earthquake;1,125;1,5625;1,7578125
595;Exeggutor;Zen Headbutt;Solar Beam;607;Marowak;Rock Smash;Earthquake;1,40625;1,25;1,7578125
592;Exeggutor;Confusion;Solar Beam;607;Marowak;Rock Smash;Earthquake;1,40625;1,25;1,7578125
590;Exeggutor;Confusion;Seed Bomb;607;Marowak;Rock Smash;Earthquake;1,40625;1,25;1,7578125
713;Scyther;Steel Wing;X-Scissor;607;Marowak;Rock Smash;Earthquake;1,125;1,5625;1,7578125
59;Butterfree;Bug Bite;Psychic;607;Marowak;Rock Smash;Earthquake;1,125;1,5625;1,7578125
61;Butterfree;Confusion;Bug Buzz;607;Marowak;Rock Smash;Earthquake;1,125;1,5625;1,7578125
593;Exeggutor;Zen Headbutt;Seed Bomb;607;Marowak;Rock Smash;Earthquake;1,40625;1,25;1,7578125
709;Scyther;Fury Cutter;Night Slash;607;Marowak;Rock Smash;Earthquake;1,125;1,5625;1,7578125
63;Butterfree;Confusion;Signal Beam;607;Marowak;Rock Smash;Earthquake;1,125;1,5625;1,7578125
16;Venusaur;Vine Whip;Petal Blizzard;607;Marowak;Rock Smash;Earthquake;1,5625;1,11111104;1,73611104
261;Parasect;Bug Bite;X-Scissor;607;Marowak;Rock Smash;Earthquake;1,25;1,38888884;1,73611104
263;Parasect;Fury Cutter;Cross Poison;607;Marowak;Rock Smash;Earthquake;1,25;1,38888884;1,73611104
248;Vileplume;Razor Leaf;Petal Blizzard;607;Marowak;Rock Smash;Earthquake;1,5625;1,11111104;1,73611104
658;Tangela;Vine Whip;Power Whip;607;Marowak;Rock Smash;Earthquake;1,5625;1,11111104;1,73611104
249;Vileplume;Razor Leaf;Solar Beam;607;Marowak;Rock Smash;Earthquake;1,5625;1,11111104;1,73611104
701;Starmie;Water Gun;Power Gem;607;Marowak;Rock Smash;Earthquake;1,5625;1,11111104;1,73611104
401;Victreebel;Razor Leaf;Leaf Blade;607;Marowak;Rock Smash;Earthquake;1,5625;1,11111104;1,73611104
403;Victreebel;Razor Leaf;Solar Beam;607;Marowak;Rock Smash;Earthquake;1,5625;1,11111104;1,73611104
264;Parasect;Fury Cutter;X-Scissor;607;Marowak;Rock Smash;Earthquake;1,25;1,38888884;1,73611104
260;Parasect;Bug Bite;Cross Poison;607;Marowak;Rock Smash;Earthquake;1,25;1,38888884;1,73611104
14;Venusaur;Razor Leaf;Solar Beam;607;Marowak;Rock Smash;Earthquake;1,5625;1,11111104;1,73611104
659;Tangela;Vine Whip;Sludge Bomb;607;Marowak;Rock Smash;Earthquake;1,5625;1,11111104;1,73611104
660;Tangela;Vine Whip;Solar Beam;607;Marowak;Rock Smash;Earthquake;1,5625;1,11111104;1,73611104
17;Venusaur;Vine Whip;Solar Beam;607;Marowak;Rock Smash;Earthquake;1,5625;1,11111104;1,73611104
700;Starmie;Water Gun;Hydro Pump;607;Marowak;Rock Smash;Earthquake;1,5625;1,11111104;1,73611104
13;Venusaur;Razor Leaf;Petal Blizzard;607;Marowak;Rock Smash;Earthquake;1,5625;1,11111104;1,73611104
455;Slowbro;Water Gun;Water Pulse;607;Marowak;Rock Smash;Earthquake;1,5625;1,11111104;1,73611104
746;Gyarados;Dragon Breath;Hydro Pump;607;Marowak;Rock Smash;Earthquake;1,28125;1,25;1,6015625
749;Gyarados;Bite;Hydro Pump;607;Marowak;Rock Smash;Earthquake;1,28125;1,25;1,6015625
60;Butterfree;Bug Bite;Signal Beam;606;Marowak;Rock Smash;Dig;1,25;1,5625;1,953125
58;Butterfree;Bug Bite;Bug Buzz;606;Marowak;Rock Smash;Dig;1,25;1,5625;1,953125
710;Scyther;Fury Cutter;X-Scissor;606;Marowak;Rock Smash;Dig;1,25;1,5625;1,953125
711;Scyther;Fury Cutter;Bug Buzz;606;Marowak;Rock Smash;Dig;1,25;1,5625;1,953125
265;Parasect;Fury Cutter;Solar Beam;606;Marowak;Rock Smash;Dig;1,40625;1,38888884;1,953125
262;Parasect;Bug Bite;Solar Beam;606;Marowak;Rock Smash;Dig;1,40625;1,38888884;1,953125
61;Butterfree;Confusion;Bug Buzz;606;Marowak;Rock Smash;Dig;1,125;1,5625;1,7578125
593;Exeggutor;Zen Headbutt;Seed Bomb;606;Marowak;Rock Smash;Dig;1,40625;1,25;1,7578125
709;Scyther;Fury Cutter;Night Slash;606;Marowak;Rock Smash;Dig;1,125;1,5625;1,7578125
592;Exeggutor;Confusion;Solar Beam;606;Marowak;Rock Smash;Dig;1,40625;1,25;1,7578125
59;Butterfree;Bug Bite;Psychic;606;Marowak;Rock Smash;Dig;1,125;1,5625;1,7578125
63;Butterfree;Confusion;Signal Beam;606;Marowak;Rock Smash;Dig;1,125;1,5625;1,7578125
590;Exeggutor;Confusion;Seed Bomb;606;Marowak;Rock Smash;Dig;1,40625;1,25;1,7578125
713;Scyther;Steel Wing;X-Scissor;606;Marowak;Rock Smash;Dig;1,125;1,5625;1,7578125
595;Exeggutor;Zen Headbutt;Solar Beam;606;Marowak;Rock Smash;Dig;1,40625;1,25;1,7578125
714;Scyther;Steel Wing;Bug Buzz;606;Marowak;Rock Smash;Dig;1,125;1,5625;1,7578125
264;Parasect;Fury Cutter;X-Scissor;606;Marowak;Rock Smash;Dig;1,25;1,38888884;1,73611104
401;Victreebel;Razor Leaf;Leaf Blade;606;Marowak;Rock Smash;Dig;1,5625;1,11111104;1,73611104
701;Starmie;Water Gun;Power Gem;606;Marowak;Rock Smash;Dig;1,5625;1,11111104;1,73611104
658;Tangela;Vine Whip;Power Whip;606;Marowak;Rock Smash;Dig;1,5625;1,11111104;1,73611104
249;Vileplume;Razor Leaf;Solar Beam;606;Marowak;Rock Smash;Dig;1,5625;1,11111104;1,73611104
659;Tangela;Vine Whip;Sludge Bomb;606;Marowak;Rock Smash;Dig;1,5625;1,11111104;1,73611104
13;Venusaur;Razor Leaf;Petal Blizzard;606;Marowak;Rock Smash;Dig;1,5625;1,11111104;1,73611104
263;Parasect;Fury Cutter;Cross Poison;606;Marowak;Rock Smash;Dig;1,25;1,38888884;1,73611104
16;Venusaur;Vine Whip;Petal Blizzard;606;Marowak;Rock Smash;Dig;1,5625;1,11111104;1,73611104
14;Venusaur;Razor Leaf;Solar Beam;606;Marowak;Rock Smash;Dig;1,5625;1,11111104;1,73611104
261;Parasect;Bug Bite;X-Scissor;606;Marowak;Rock Smash;Dig;1,25;1,38888884;1,73611104
403;Victreebel;Razor Leaf;Solar Beam;606;Marowak;Rock Smash;Dig;1,5625;1,11111104;1,73611104
700;Starmie;Water Gun;Hydro Pump;606;Marowak;Rock Smash;Dig;1,5625;1,11111104;1,73611104
455;Slowbro;Water Gun;Water Pulse;606;Marowak;Rock Smash;Dig;1,5625;1,11111104;1,73611104
248;Vileplume;Razor Leaf;Petal Blizzard;606;Marowak;Rock Smash;Dig;1,5625;1,11111104;1,73611104
660;Tangela;Vine Whip;Solar Beam;606;Marowak;Rock Smash;Dig;1,5625;1,11111104;1,73611104
17;Venusaur;Vine Whip;Solar Beam;606;Marowak;Rock Smash;Dig;1,5625;1,11111104;1,73611104
260;Parasect;Bug Bite;Cross Poison;606;Marowak;Rock Smash;Dig;1,25;1,38888884;1,73611104
749;Gyarados;Bite;Hydro Pump;606;Marowak;Rock Smash;Dig;1,28125;1,25;1,6015625
746;Gyarados;Dragon Breath;Hydro Pump;606;Marowak;Rock Smash;Dig;1,28125;1,25;1,6015625
262;Parasect;Bug Bite;Solar Beam;605;Marowak;Rock Smash;Bone Club;1,40625;1,38888884;1,953125
60;Butterfree;Bug Bite;Signal Beam;605;Marowak;Rock Smash;Bone Club;1,25;1,5625;1,953125
265;Parasect;Fury Cutter;Solar Beam;605;Marowak;Rock Smash;Bone Club;1,40625;1,38888884;1,953125
710;Scyther;Fury Cutter;X-Scissor;605;Marowak;Rock Smash;Bone Club;1,25;1,5625;1,953125
58;Butterfree;Bug Bite;Bug Buzz;605;Marowak;Rock Smash;Bone Club;1,25;1,5625;1,953125
711;Scyther;Fury Cutter;Bug Buzz;605;Marowak;Rock Smash;Bone Club;1,25;1,5625;1,953125
590;Exeggutor;Confusion;Seed Bomb;605;Marowak;Rock Smash;Bone Club;1,40625;1,25;1,7578125
714;Scyther;Steel Wing;Bug Buzz;605;Marowak;Rock Smash;Bone Club;1,125;1,5625;1,7578125
592;Exeggutor;Confusion;Solar Beam;605;Marowak;Rock Smash;Bone Club;1,40625;1,25;1,7578125
59;Butterfree;Bug Bite;Psychic;605;Marowak;Rock Smash;Bone Club;1,125;1,5625;1,7578125
61;Butterfree;Confusion;Bug Buzz;605;Marowak;Rock Smash;Bone Club;1,125;1,5625;1,7578125
63;Butterfree;Confusion;Signal Beam;605;Marowak;Rock Smash;Bone Club;1,125;1,5625;1,7578125
709;Scyther;Fury Cutter;Night Slash;605;Marowak;Rock Smash;Bone Club;1,125;1,5625;1,7578125
593;Exeggutor;Zen Headbutt;Seed Bomb;605;Marowak;Rock Smash;Bone Club;1,40625;1,25;1,7578125
595;Exeggutor;Zen Headbutt;Solar Beam;605;Marowak;Rock Smash;Bone Club;1,40625;1,25;1,7578125
713;Scyther;Steel Wing;X-Scissor;605;Marowak;Rock Smash;Bone Club;1,125;1,5625;1,7578125
658;Tangela;Vine Whip;Power Whip;605;Marowak;Rock Smash;Bone Club;1,5625;1,11111104;1,73611104
264;Parasect;Fury Cutter;X-Scissor;605;Marowak;Rock Smash;Bone Club;1,25;1,38888884;1,73611104
14;Venusaur;Razor Leaf;Solar Beam;605;Marowak;Rock Smash;Bone Club;1,5625;1,11111104;1,73611104
401;Victreebel;Razor Leaf;Leaf Blade;605;Marowak;Rock Smash;Bone Club;1,5625;1,11111104;1,73611104
249;Vileplume;Razor Leaf;Solar Beam;605;Marowak;Rock Smash;Bone Club;1,5625;1,11111104;1,73611104
263;Parasect;Fury Cutter;Cross Poison;605;Marowak;Rock Smash;Bone Club;1,25;1,38888884;1,73611104
403;Victreebel;Razor Leaf;Solar Beam;605;Marowak;Rock Smash;Bone Club;1,5625;1,11111104;1,73611104
16;Venusaur;Vine Whip;Petal Blizzard;605;Marowak;Rock Smash;Bone Club;1,5625;1,11111104;1,73611104
248;Vileplume;Razor Leaf;Petal Blizzard;605;Marowak;Rock Smash;Bone Club;1,5625;1,11111104;1,73611104
700;Starmie;Water Gun;Hydro Pump;605;Marowak;Rock Smash;Bone Club;1,5625;1,11111104;1,73611104
260;Parasect;Bug Bite;Cross Poison;605;Marowak;Rock Smash;Bone Club;1,25;1,38888884;1,73611104
261;Parasect;Bug Bite;X-Scissor;605;Marowak;Rock Smash;Bone Club;1,25;1,38888884;1,73611104
660;Tangela;Vine Whip;Solar Beam;605;Marowak;Rock Smash;Bone Club;1,5625;1,11111104;1,73611104
17;Venusaur;Vine Whip;Solar Beam;605;Marowak;Rock Smash;Bone Club;1,5625;1,11111104;1,73611104
701;Starmie;Water Gun;Power Gem;605;Marowak;Rock Smash;Bone Club;1,5625;1,11111104;1,73611104
13;Venusaur;Razor Leaf;Petal Blizzard;605;Marowak;Rock Smash;Bone Club;1,5625;1,11111104;1,73611104
659;Tangela;Vine Whip;Sludge Bomb;605;Marowak;Rock Smash;Bone Club;1,5625;1,11111104;1,73611104
455;Slowbro;Water Gun;Water Pulse;605;Marowak;Rock Smash;Bone Club;1,5625;1,11111104;1,73611104
749;Gyarados;Bite;Hydro Pump;605;Marowak;Rock Smash;Bone Club;1,28125;1,25;1,6015625
746;Gyarados;Dragon Breath;Hydro Pump;605;Marowak;Rock Smash;Bone Club;1,28125;1,25;1,6015625
265;Parasect;Fury Cutter;Solar Beam;604;Marowak;Mud Slap;Earthquake;1,40625;1,5625;2,19726563
262;Parasect;Bug Bite;Solar Beam;604;Marowak;Mud Slap;Earthquake;1,40625;1,5625;2,19726563
710;Scyther;Fury Cutter;X-Scissor;604;Marowak;Mud Slap;Earthquake;1,25;1,5625;1,953125
58;Butterfree;Bug Bite;Bug Buzz;604;Marowak;Mud Slap;Earthquake;1,25;1,5625;1,953125
263;Parasect;Fury Cutter;Cross Poison;604;Marowak;Mud Slap;Earthquake;1,25;1,5625;1,953125
261;Parasect;Bug Bite;X-Scissor;604;Marowak;Mud Slap;Earthquake;1,25;1,5625;1,953125
60;Butterfree;Bug Bite;Signal Beam;604;Marowak;Mud Slap;Earthquake;1,25;1,5625;1,953125
658;Tangela;Vine Whip;Power Whip;604;Marowak;Mud Slap;Earthquake;1,5625;1,25;1,953125
659;Tangela;Vine Whip;Sludge Bomb;604;Marowak;Mud Slap;Earthquake;1,5625;1,25;1,953125
264;Parasect;Fury Cutter;X-Scissor;604;Marowak;Mud Slap;Earthquake;1,25;1,5625;1,953125
711;Scyther;Fury Cutter;Bug Buzz;604;Marowak;Mud Slap;Earthquake;1,25;1,5625;1,953125
660;Tangela;Vine Whip;Solar Beam;604;Marowak;Mud Slap;Earthquake;1,5625;1,25;1,953125
260;Parasect;Bug Bite;Cross Poison;604;Marowak;Mud Slap;Earthquake;1,25;1,5625;1,953125
592;Exeggutor;Confusion;Solar Beam;604;Marowak;Mud Slap;Earthquake;1,40625;1,25;1,7578125
714;Scyther;Steel Wing;Bug Buzz;604;Marowak;Mud Slap;Earthquake;1,125;1,5625;1,7578125
713;Scyther;Steel Wing;X-Scissor;604;Marowak;Mud Slap;Earthquake;1,125;1,5625;1,7578125
590;Exeggutor;Confusion;Seed Bomb;604;Marowak;Mud Slap;Earthquake;1,40625;1,25;1,7578125
709;Scyther;Fury Cutter;Night Slash;604;Marowak;Mud Slap;Earthquake;1,125;1,5625;1,7578125
61;Butterfree;Confusion;Bug Buzz;604;Marowak;Mud Slap;Earthquake;1,125;1,5625;1,7578125
593;Exeggutor;Zen Headbutt;Seed Bomb;604;Marowak;Mud Slap;Earthquake;1,40625;1,25;1,7578125
59;Butterfree;Bug Bite;Psychic;604;Marowak;Mud Slap;Earthquake;1,125;1,5625;1,7578125
595;Exeggutor;Zen Headbutt;Solar Beam;604;Marowak;Mud Slap;Earthquake;1,40625;1,25;1,7578125
63;Butterfree;Confusion;Signal Beam;604;Marowak;Mud Slap;Earthquake;1,125;1,5625;1,7578125
749;Gyarados;Bite;Hydro Pump;604;Marowak;Mud Slap;Earthquake;1,28125;1,25;1,6015625
746;Gyarados;Dragon Breath;Hydro Pump;604;Marowak;Mud Slap;Earthquake;1,28125;1,25;1,6015625
265;Parasect;Fury Cutter;Solar Beam;603;Marowak;Mud Slap;Dig;1,40625;1,5625;2,19726563
262;Parasect;Bug Bite;Solar Beam;603;Marowak;Mud Slap;Dig;1,40625;1,5625;2,19726563
711;Scyther;Fury Cutter;Bug Buzz;603;Marowak;Mud Slap;Dig;1,25;1,5625;1,953125
60;Butterfree;Bug Bite;Signal Beam;603;Marowak;Mud Slap;Dig;1,25;1,5625;1,953125
261;Parasect;Bug Bite;X-Scissor;603;Marowak;Mud Slap;Dig;1,25;1,5625;1,953125
658;Tangela;Vine Whip;Power Whip;603;Marowak;Mud Slap;Dig;1,5625;1,25;1,953125
260;Parasect;Bug Bite;Cross Poison;603;Marowak;Mud Slap;Dig;1,25;1,5625;1,953125
263;Parasect;Fury Cutter;Cross Poison;603;Marowak;Mud Slap;Dig;1,25;1,5625;1,953125
710;Scyther;Fury Cutter;X-Scissor;603;Marowak;Mud Slap;Dig;1,25;1,5625;1,953125
58;Butterfree;Bug Bite;Bug Buzz;603;Marowak;Mud Slap;Dig;1,25;1,5625;1,953125
660;Tangela;Vine Whip;Solar Beam;603;Marowak;Mud Slap;Dig;1,5625;1,25;1,953125
659;Tangela;Vine Whip;Sludge Bomb;603;Marowak;Mud Slap;Dig;1,5625;1,25;1,953125
264;Parasect;Fury Cutter;X-Scissor;603;Marowak;Mud Slap;Dig;1,25;1,5625;1,953125
593;Exeggutor;Zen Headbutt;Seed Bomb;603;Marowak;Mud Slap;Dig;1,40625;1,25;1,7578125
595;Exeggutor;Zen Headbutt;Solar Beam;603;Marowak;Mud Slap;Dig;1,40625;1,25;1,7578125
709;Scyther;Fury Cutter;Night Slash;603;Marowak;Mud Slap;Dig;1,125;1,5625;1,7578125
63;Butterfree;Confusion;Signal Beam;603;Marowak;Mud Slap;Dig;1,125;1,5625;1,7578125
61;Butterfree;Confusion;Bug Buzz;603;Marowak;Mud Slap;Dig;1,125;1,5625;1,7578125
590;Exeggutor;Confusion;Seed Bomb;603;Marowak;Mud Slap;Dig;1,40625;1,25;1,7578125
59;Butterfree;Bug Bite;Psychic;603;Marowak;Mud Slap;Dig;1,125;1,5625;1,7578125
714;Scyther;Steel Wing;Bug Buzz;603;Marowak;Mud Slap;Dig;1,125;1,5625;1,7578125
713;Scyther;Steel Wing;X-Scissor;603;Marowak;Mud Slap;Dig;1,125;1,5625;1,7578125
592;Exeggutor;Confusion;Solar Beam;603;Marowak;Mud Slap;Dig;1,40625;1,25;1,7578125
749;Gyarados;Bite;Hydro Pump;603;Marowak;Mud Slap;Dig;1,28125;1,25;1,6015625
746;Gyarados;Dragon Breath;Hydro Pump;603;Marowak;Mud Slap;Dig;1,28125;1,25;1,6015625
262;Parasect;Bug Bite;Solar Beam;602;Marowak;Mud Slap;Bone Club;1,40625;1,5625;2,19726563
265;Parasect;Fury Cutter;Solar Beam;602;Marowak;Mud Slap;Bone Club;1,40625;1,5625;2,19726563
659;Tangela;Vine Whip;Sludge Bomb;602;Marowak;Mud Slap;Bone Club;1,5625;1,25;1,953125
